Issue Type,Issue key,Issue id,Summary,Assignee,Assignee Id,Reporter,Reporter Id,Priority,Resolution,Created,Updated,Status,Custom field (Required Access Level),Custom field (Required Access Level)
Task,AO3-7149,75152,Remove unused HomeHelper#html_to_text method,,,Bilka,557058:baa5f297-c116-4036-bbf1-109f8a7e50a7,Medium,,01/Oct/25 11:07 AM,01/Oct/25 11:07 AM,To Do,,
Task,AO3-7148,75151,Replace unicode_utils gem with built-in Ruby Unicode case folding,Brian Austin,557058:48d6a38e-168b-4aa7-a58d-a1853a844295,Bilka,557058:baa5f297-c116-4036-bbf1-109f8a7e50a7,Medium,,01/Oct/25 10:51 AM,02/Oct/25 9:15 AM,In Review,Tag Wrangler,
Improvement,AO3-7147,75085,Add collection listings for tags,,,Sarken,557058:443ab871-4096-403e-bd6f-f3534fe417f0,Medium,,29/Sep/25 8:54 PM,30/Sep/25 2:42 AM,To Do,Tag Wrangler,
Bug,AO3-7146,75052,Unable to gift a work to multiple non-registered users of the Archive,,,killiane,712020:ac1dc0bc-c34f-429e-bfde-2c4a9a330feb,Medium,,27/Sep/25 7:23 PM,28/Sep/25 4:30 AM,To Do,,
Improvement,AO3-7145,75019,Upgrade ruby to 3.4,james_,557058:e4a3ada3-097a-4936-af08-46ecac880066,james_,557058:e4a3ada3-097a-4936-af08-46ecac880066,High,,27/Sep/25 10:57 AM,29/Sep/25 8:55 PM,In Review,Admin,
Bug,AO3-7144,74987,Page heading on Collections index pages are inconsistent with other page headings,,,Sarken,557058:443ab871-4096-403e-bd6f-f3534fe417f0,Low,,26/Sep/25 11:40 PM,29/Sep/25 1:47 AM,To Do,,
Improvement,AO3-7143,74986,Add filters to user Collections pages,,,Sarken,557058:443ab871-4096-403e-bd6f-f3534fe417f0,Medium,,26/Sep/25 11:25 PM,26/Sep/25 11:25 PM,To Do,,
Bug,AO3-7142,74953,Number of collections in user sidebar is different from number of collections on user's collections page,,,Sarken,557058:443ab871-4096-403e-bd6f-f3534fe417f0,Medium,,26/Sep/25 4:49 PM,30/Sep/25 10:28 AM,To Do,,
Bug,AO3-7141,74920,User's and collection's collection pages sort by created_at ,Bilka,557058:baa5f297-c116-4036-bbf1-109f8a7e50a7,Bilka,557058:baa5f297-c116-4036-bbf1-109f8a7e50a7,Medium,DeployedToBeta,26/Sep/25 11:13 AM,28/Sep/25 5:23 AM,Deployed,,
Bug,AO3-7140,74889,Confusing information on your Assignments page when you create a draft to fulfill an assignment,,,Sarken,557058:443ab871-4096-403e-bd6f-f3534fe417f0,Medium,,25/Sep/25 11:54 PM,25/Sep/25 11:54 PM,To Do,,
Bug,AO3-7139,74888,Collection autocompletes provide suggestions in inconsistent format ,,,Sarken,557058:443ab871-4096-403e-bd6f-f3534fe417f0,Medium,,25/Sep/25 11:06 PM,25/Sep/25 11:22 PM,To Do,,
Task,AO3-7138,74887,"Collections: Change member class to participant on Membership page, add it to index on People page",,,Sarken,557058:443ab871-4096-403e-bd6f-f3534fe417f0,Lowest,,25/Sep/25 10:47 PM,25/Sep/25 10:47 PM,To Do,,
Task,AO3-7137,74854,Bump rack from 2.2.17 to 2.2.18,,,Bilka,557058:baa5f297-c116-4036-bbf1-109f8a7e50a7,Medium,DeployedToBeta,25/Sep/25 11:51 AM,01/Oct/25 9:49 AM,Deployed,,
Task,AO3-7136,74821,Remove 8tracks from the allow-listed embeds,Emily Wiegand,712020:bb3a9a1c-a2af-4bee-8368-75c1d28f2468,Brian Austin,557058:48d6a38e-168b-4aa7-a58d-a1853a844295,Medium,DeployedToBeta,23/Sep/25 9:14 AM,01/Oct/25 9:49 AM,Deployed,,
Improvement,AO3-7135,74755,"Record when tags were last canonized and decanonized, let admins see it, and make it a sorting option on tag search",,,Sarken,557058:443ab871-4096-403e-bd6f-f3534fe417f0,Medium,,19/Sep/25 6:03 PM,22/Sep/25 7:14 PM,To Do,Admin,Tag Wrangler
Bug,AO3-7134,74723,Useful tips in first login help banner no longer open in modal,,,Sarken,557058:443ab871-4096-403e-bd6f-f3534fe417f0,Medium,,19/Sep/25 2:08 AM,19/Sep/25 2:08 AM,To Do,,
Bug,AO3-7133,74722,"On Statistics page, ""Flat View"" button doesn't appear pressed when selected",Cubostar,70121:89c7a5a9-8900-47de-9c93-cd9e950f8088,pk2317,712020:8c49dc48-55a9-4e6a-903d-96f1b29bc5fd,Medium,,19/Sep/25 1:25 AM,21/Sep/25 12:40 AM,In Progress,,
Bug,AO3-7132,74690,Focus not handled correctly when opening and closing modals,,,Sarken,557058:443ab871-4096-403e-bd6f-f3534fe417f0,Medium,,19/Sep/25 12:00 AM,19/Sep/25 12:03 AM,To Do,,
Bug,AO3-7131,74689,Text used by screen readers to announce help links is unclear,,,Sarken,557058:443ab871-4096-403e-bd6f-f3534fe417f0,Medium,,18/Sep/25 10:16 PM,18/Sep/25 10:16 PM,To Do,,
Bug,AO3-7130,74657,Screen Reader doesn't report elements in filter on Tags page,,,Sam Johnsson,557058:a06b2e64-4893-491b-b85e-8176df5059b9,Medium,,18/Sep/25 7:01 AM,19/Sep/25 12:03 AM,To Do,,
Bug,AO3-7129,74656,Active URL validation fails for external works on bsky.app,,,Sam Johnsson,557058:a06b2e64-4893-491b-b85e-8176df5059b9,Medium,,18/Sep/25 6:48 AM,18/Sep/25 10:39 AM,To Do,,
Bug,AO3-7128,74623,Collection maintainers listed twice in subcollection blurbs and profiles if they also have a different role in the parent collection,Cubostar,70121:89c7a5a9-8900-47de-9c93-cd9e950f8088,Sarken,557058:443ab871-4096-403e-bd6f-f3534fe417f0,Low,,17/Sep/25 11:19 PM,25/Sep/25 7:56 PM,In Review,,
Task,AO3-7127,74591,Bump rexml from 3.4.1 to 3.4.2,Bilka,557058:baa5f297-c116-4036-bbf1-109f8a7e50a7,Bilka,557058:baa5f297-c116-4036-bbf1-109f8a7e50a7,Medium,DeployedToBeta,17/Sep/25 1:59 PM,01/Oct/25 9:49 AM,Deployed,,
Improvement,AO3-7126,74590,Change label on login in Admin records for clarity,,,Sam Johnsson,557058:a06b2e64-4893-491b-b85e-8176df5059b9,Low,DeployedToBeta,17/Sep/25 8:32 AM,01/Oct/25 9:49 AM,Deployed,Admin,
Bug,AO3-7125,74558,Broken clearing your cache link on auth error page,John Pork,712020:c8761dc9-be90-4d87-a637-e4a633c16c09,Bilka,557058:baa5f297-c116-4036-bbf1-109f8a7e50a7,Medium,DeployedToBeta,16/Sep/25 12:27 PM,01/Oct/25 9:49 AM,Deployed,,
Bug,AO3-7124,74557,Chapter titles in downloads don't include chapter number for chapters with custom title,Yanpei Wang,712020:f007a4ef-e467-40f8-a5b5-eb0106a70c84,Bilka,557058:baa5f297-c116-4036-bbf1-109f8a7e50a7,Low,,16/Sep/25 12:11 PM,02/Oct/25 4:41 AM,In Review,,
Improvement,AO3-7123,74528,Add multifandom filter options to collections filter,Sarken,557058:443ab871-4096-403e-bd6f-f3534fe417f0,Sarken,557058:443ab871-4096-403e-bd6f-f3534fe417f0,Medium,DeployedToBeta,14/Sep/25 5:31 PM,28/Sep/25 5:23 AM,Deployed,,
Task,AO3-7122,74527,Update default nil value for multifandom and open_doors columns in collections table,Sarken,557058:443ab871-4096-403e-bd6f-f3534fe417f0,Sarken,557058:443ab871-4096-403e-bd6f-f3534fe417f0,Medium,DeployedToBeta,14/Sep/25 5:24 PM,26/Sep/25 7:27 AM,Deployed,,
Bug,AO3-7121,74526,Blurbs of bookmarks of unrevealed works include link to work's bookmark page,,,Bilka,557058:baa5f297-c116-4036-bbf1-109f8a7e50a7,Medium,,14/Sep/25 12:24 PM,14/Sep/25 1:58 PM,To Do,,
Improvement,AO3-7120,74525,Change user troubleshooting to also reindex user in admin user search,,,Bilka,557058:baa5f297-c116-4036-bbf1-109f8a7e50a7,Low,,14/Sep/25 11:44 AM,14/Sep/25 11:44 AM,To Do,Admin,
Improvement,AO3-7119,74524,Use standard analyzer for tags on bookmark search,,,Bilka,557058:baa5f297-c116-4036-bbf1-109f8a7e50a7,Medium,,14/Sep/25 11:28 AM,14/Sep/25 8:22 PM,To Do,,
Task,AO3-7118,74492,Bump reviewdog/action-rubocop from 2.21.4 to 2.22.0,,,Bilka,557058:baa5f297-c116-4036-bbf1-109f8a7e50a7,Medium,DeployedToBeta,08/Sep/25 12:53 PM,28/Sep/25 5:23 AM,Deployed,,
